MsgID.GLOBAL_POSITION,1521099910.9877191,-121.9939343,37.4137424,0.0820000
MsgID.LOCAL_VELOCITY,1521099910.9877191,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521099910.9887094,0.0447421,0.0245403,-0.0826533
MsgID.LOCAL_VELOCITY,1521099910.9887094,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1521099910.9916763,False,False
MsgID.GLOBAL_HOME,1521099910.9981885,-121.9939346,37.4137420,0.0000000
MsgID.GLOBAL_POSITION,1521099910.9996920,-121.9939355,37.4137422,0.0820000
MsgID.LOCAL_VELOCITY,1521099910.9996920,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521099911.0011997,0.0203143,-0.0830688,-0.0825407
MsgID.LOCAL_VELOCITY,1521099911.0011997,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521099911.0026999,-121.9939358,37.4137412,0.0820000
MsgID.LOCAL_VELOCITY,1521099911.0026999,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521099911.0037029,-0.0918130,-0.1117017,-0.0824772
MsgID.LOCAL_VELOCITY,1521099911.0037029,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521099911.0052066,-121.9939359,37.4137426,0.0810000
MsgID.LOCAL_VELOCITY,1521099911.0052066,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521099911.0057082,0.0658455,-0.1209839,-0.0816408
MsgID.LOCAL_VELOCITY,1521099911.0057082,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521099911.0062132,-121.9939374,37.4137437,0.0780000
MsgID.LOCAL_VELOCITY,1521099911.0062132,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521099911.0062132,0.1910760,-0.2497443,-0.0787851
MsgID.LOCAL_VELOCITY,1521099911.0062132,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1521099911.0072148,False,False
MsgID.GLOBAL_HOME,1521099911.0072148,-121.9939346,37.4137420,0.0000000
MsgID.GLOBAL_POSITION,1521099911.0072148,-121.9939370,37.4137438,0.0710000
MsgID.LOCAL_VELOCITY,1521099911.0072148,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521099911.0077505,0.1967933,-0.2163202,-0.0719526
MsgID.LOCAL_VELOCITY,1521099911.0077505,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521099911.0077505,-121.9939350,37.4137428,0.0630000
MsgID.LOCAL_VELOCITY,1521099911.0077505,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521099911.0082507,0.0890380,-0.0346090,-0.0632445
MsgID.LOCAL_VELOCITY,1521099911.0082507,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521099911.0082507,-121.9939375,37.4137425,0.0510000
MsgID.LOCAL_VELOCITY,1521099911.0082507,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521099911.0082507,0.0581686,-0.2610030,-0.0517972
MsgID.LOCAL_VELOCITY,1521099911.0082507,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1521099911.1898561,-121.9939368,37.4137427,0.0420000
MsgID.LOCAL_VELOCITY,1521099911.1898561,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1521099911.1908586,0.0705345,-0.1996599,-0.0423330
MsgID.LOCAL_VELOCITY,1521099911.1908586,0.0000521,0.0000090,0.0003211
MsgID.STATE,1521099911.3960397,True,True
MsgID.GLOBAL_HOME,1521099911.4020553,-121.9939346,37.4137420,0.0000000
MsgID.GLOBAL_POSITION,1521099911.4404497,-121.9939371,37.4137424,0.0390000
MsgID.LOCAL_VELOCITY,1521099911.4404497,0.0000000,0.0000000,-0.3600000
MsgID.LOCAL_POSITION,1521099911.4409328,0.0476718,-0.2208630,-0.0399714
MsgID.LOCAL_VELOCITY,1521099911.4409328,0.0013957,0.0014645,-0.3699694
MsgID.GLOBAL_POSITION,1521099911.6898499,-121.9939375,37.4137431,0.3760000
MsgID.LOCAL_VELOCITY,1521099911.6898499,0.0000000,0.0000000,-2.2900000
MsgID.LOCAL_POSITION,1521099911.6903529,0.1212851,-0.2601958,-0.3763018
MsgID.LOCAL_VELOCITY,1521099911.6903529,0.0034993,0.0090112,-2.2973163
MsgID.GLOBAL_POSITION,1521099911.9403267,-121.9939350,37.4137435,1.1350000
MsgID.LOCAL_VELOCITY,1521099911.9403267,-0.0100000,0.0000000,-3.2800000
MsgID.LOCAL_POSITION,1521099911.9403267,0.1660208,-0.0413042,-1.1354276
MsgID.LOCAL_VELOCITY,1521099911.9403267,-0.0118085,0.0090661,-3.2859087
MsgID.GLOBAL_POSITION,1521099912.1905611,-121.9939353,37.4137424,1.9510000
